file	label	r	g	b	bwl	it	pm
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Erschienene Themen/Leasing/__02_doing_Leasing/_gcss_leasing.css	BWL	255	0	0	1	0	0
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Erschienene Themen/Nutzwertanalyse/__02_doing_Nutzwertanalyse/_gcss_nutzwertanalyse.css	BWL	255	0	0	1	0	0
databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/Erschienene Themen/4-Ohren-Modell/__02_doing_4-Ohren-Modell/_gcss_kommunikation.css	BWL	255	0	0	1	0	0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Angebot, Abnahme, Übergabe/Mögliche Themen/Abnahme-Übergabeprozess (Abnahmeprotokoll, Übergabepaket)/__02_doing_Abnahme-Übergabeprozess (Abnahmeprotokoll, Übergabepaket)/_gcss_abnahme.css	PM	0	0	255	0.0	0.0	11.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Angebot, Abnahme, Übergabe/Mögliche Themen/Angebot auf Basis Leistungsbeschreibung/__02_doing_Angebot auf Basis Leistungsbeschreibung/_gcss_angebot.css	PM	0	0	255	0.0	0.0	10.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Mögliche Themen/Kundenfeedback strukturiert aufnehmen und Maßnahmen ableiten/__02_doing_Kundenfeedback strukturiert aufnehmen und Maßnahmen ableiten/_gcss_kategorisierer.css	PM	0	0	255	0.0	0.0	8.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Mögliche Themen/Skalierbarkeit bewerten/__02_doing_Skalierbarkeit bewerten/_gcss_skalierung.css	IT+PM	0	28	227	0.0	1.0	8.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Mögliche Themen/Verlässlichkeit-Robustheit bewerten/__02_doing_Verlässlichkeit-Robustheit bewerten/_gcss_failover_simulator.css	IT+PM	0	28	227	0.0	1.0	8.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Anforderungsanalyse/__02_doing_Anforderungsanalyse/_gcss_anforderungsanalyse.css	PM	0	0	255	0.0	0.0	8.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Change Management/__02_doing_Change Management/_gcss_change_curve.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Dokumentation/__02_doing_Dokumentation/_gcss_doku_zielgruppen_match.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Fremdvergabe/__02_doing_Fremdvergabe/_gcss_make_or_buy_waage.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Machbarkeitsanalyse [Ab hier abwärts neue Strategie angewandt]/__02_doing_Machbarkeitsanalyse [Ab hier abwärts neue Strategie angewandt]/_gcss_go_oder_no_go.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Projektmanagement _/__02_doing_Projektmanagement _/_gcss_pm_methoden_match.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Protokoll anfertigen _/__02_doing_Protokoll anfertigen _/_gcss_protokoll_arten_sortierer.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Prozessanalyse _/__02_doing_Prozessanalyse _/_gcss_ist_zustand_detektiv.css	PM	0	0	255	0.0	0.0	8.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Stakeholder/__02_doing_Stakeholder/_gcss_stakeholder_mapping.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Ticketsystem/__02_doing_Ticketsystem/_gcss_ticket_status_labyrinth.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Umfeldanalyse/__02_doing_Umfeldanalyse/_gcss_stakeholder_radar.css	PM	0	0	255	0.0	0.0	10.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/User-Stories/__02_doing_User-Stories/_gcss_user_story_builder.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Erschienene Themen/Workshop _/__02_doing_Workshop _/_gcss_moderations_master.css	PM	0	0	255	0.0	0.0	9.0
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Lösungsfindung & Entscheidung/Mögliche Themen/Lösungsvarianten entwickeln und nach Kriterien vergleichen/__02_doing_Lösungsvarianten entwickeln und nach Kriterien vergleichen/_gcss_nutzwert_navigator.css	PM	0	0	255	0.0	0.0	8.0
databases/Teil02 FIAE/database/Architektur & Patterns/Architektur-„Schubladen“ für AP2/Mögliche Themen/Dependency Injection (Grundidee: warum hilft das beim Testen?)/__02_doing_Dependency Injection (Grundidee: warum hilft das beim Testen?)/_gcss_constructor_injector.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Architektur-„Schubladen“ für AP2/Mögliche Themen/MVC-MVVM (Grundidee, wann sinnvoll)/__02_doing_MVC-MVVM (Grundidee, wann sinnvoll)/_gcss_mvc_role_match.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Erschienene Themen/Design Patterns/__02_doing_Design Patterns/_gcss_pattern_categorizer.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Erschienene Themen/Observer (Pattern)/__02_doing_Observer (Pattern)/_gcss_observer_simulation.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Erschienene Themen/Schichtenarchitektur/__02_doing_Schichtenarchitektur/_gcss_layer_sorter.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Mögliche Themen/Adapter/__02_doing_Adapter/_gcss_compatibility_connector.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Mögliche Themen/Decorator/__02_doing_Decorator/_gcss_coffee_builder.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Mögliche Themen/Factory/__02_doing_Factory/_gcss_factory_hall.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Mögliche Themen/Repository/__02_doing_Repository/_gcss_data_source_hider.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Mögliche Themen/Singleton/__02_doing_Singleton/_gcss_singleton_challenge.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Mögliche Themen/Strategy/__02_doing_Strategy/_gcss_payment_switcher.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Anomalien/__02_doing_Anomalien/_gcss_anomaly_hunt.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/CREATE TABLE/__02_doing_CREATE TABLE/_gcss_schema_architect.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/DELETE/__02_doing_DELETE/_gcss_point_delete.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Datenimport/__02_doing_Datenimport/_gcss_csv_mapper.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Datenqualität/__02_doing_Datenqualität/_gcss_duplicate_hunter.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Datentypen/__02_doing_Datentypen/_gcss_type_match.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Dokumentenorientierte Datenbank/__02_doing_Dokumentenorientierte Datenbank/_gcss_json_puzzle.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/GRANT/__02_doing_GRANT/_gcss_rights_manager.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/INSERT/__02_doing_INSERT/_gcss_value_match.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Index/__02_doing_Index/_gcss_btree_simulator.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/REVOKE/__02_doing_REVOKE/_gcss_rights_revoke.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Redundanz/__02_doing_Redundanz/_gcss_space_waster.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/SELECT/__02_doing_SELECT/_gcss_column_sieve.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/SQL (allgemein)/__02_doing_SQL (allgemein)/_gcss_sql_sorter.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Stored Procedures/__02_doing_Stored Procedures/_gcss_procedure_kit.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Transaktionen/__02_doing_Transaktionen/_gcss_acid_sorter.css	IT	0	255	0	0.0	7.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/Trigger/__02_doing_Trigger/_gcss_event_watcher.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/UNION/__02_doing_UNION/_gcss_union_compat.css	IT	0	255	0	0.0	8.0	0.0
databases/Teil02 FIAE/database/Datenbanken & SQL/Erschienene Themen/UPDATE/__02_doing_UPDATE/_gcss_mass_update.css	IT	0	255	0	0.0	8.0	0.0
